NameMovie,EnNameMovie,Year,Rating,Runtime,IMDbRating,CustomerRating,Populary,Genre,Decribe,Director,Writter,Star,User_reviews,CriticReviews_Metascore
Green Lantern: Beware My Power,,2022,Null,Null,,,"1,095",Animation,"Recently discharged Marine sniper John Stewart is at a crossroads in his life, one which is only complicated by receiving an extraterrestrial ring which grants him the powers of the Green Lantern of Earth.",Jeff Wamester,Null,Null,,
Strange World,,2022,Null,Null,,,"1,126",Animation,The legendary Clades are a family of explorers whose differences threatened to topple their latest and most crucial mission.,Don Hall,Null,Null,,
Untitled Super Mario Project,,2023,Null,Null,,,954,Animation,"A plumber named Mario travels through an underground labyrinth with his brother, Luigi, trying to save a captured princess. Feature film adaptation of the popular video game.",Aaron Horvath,Null,Null,,
Khách Sạn Huyền Bí 4: Ma Cà Rồng Biến Hình,Hotel Transylvania: Transformania,2022,PG,1h 27m,6.0/10,28K,"1,055",Animation,"After one experiment, Johnny turns into a monster and everyone else becomes human. Now it has to be seen whether they will be able to reverse this experiment.",Derek Drymon,Jennifer Kluska,Nunzio Randazzo,223,69 46
Spider-Man: Across the Spider-Verse,,2023,Null,Null,,,"1,459",Animation,"Miles Morales returns for the next chapter of the Oscar®-winning Spider-Verse saga, an epic adventure that will transport Brooklyn's full-time, friendly neighborhood Spider-Man across the Multiverse to join forces with Gwen Stacy and a new team of Spider-People to face off with a villain more powerful than anything they have ever encountered.",Joaquim Dos Santos,Null,Null,,
Pinocchio của Guillermo del Toro,Guillermo del Toro's Pinocchio,2022,Null,Null,,,"1,846",Animation,A darker version of the classic children's fairy tale of a wooden puppet that transforms into a real living boy.,Guillermo del Toro,Null,Null,,
Mèo Đi Hia: Điều Ước Cuối Cùng,Puss in Boots: The Last Wish,2022,Null,Null,,,"1,962",Animation,Puss in Boots discovers that his passion for adventure has taken its toll: he has burned through eight of his nine lives. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.,Joel Crawford,Null,Null,,
Thỏ Gà Ra Kho Báu,Hopper et le hamster des ténèbres,2022,TV-Y7,1h 31m,6.3/10,1.3K,"2,694",Animation,"Follows a young hero born half chicken and half hare. Eager to fit in and feel loved in spite of his differences, he is obsessed by adventuring in spite of his clumsiness.",Ben Stassen,Benjamin Mousquet,Danny Fehsenfeld,,
"Lyle, Chú Cá Sấu Biết Hát","Lyle, Lyle, Crocodile",2022,Null,Null,,,"2,947",Animation,Feature film based on the children's book about a crocodile that lives in New York City.,Josh Gordon,Null,Null,,
"Một Ngôi Nhà, Ba Câu Chuyện",The House,2022,C16,1h 37m,6.8/10,14K,304,Animation,"Across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy.",Paloma Baeza,Emma De Swaef,Paloma Baeza,,
Elemental,,2023,Null,Null,,,"2,139",Animation,"Follows Ember and Wade, in a city where fire-, water-, land- and air-residents live together.",Peter Sohn,Null,Null,,
Ngọn Lửa Trái Tim,Fireheart,2022,TV-PG,1h 32m,6.1/10,1.5K,"3,035",Animation,"Sixteen-year-old Georgia Nolan dreams of being the world's first-ever female firefighter. When a mysterious arsonist starts burning down Broadway, New York's firemen begin vanishing. Georgia's father, Shawn, is called out of retirement by the Mayor of New York to lead the investigation into the disappearances. Desperate to help her father and save her city, Georgia di... Read all",Theodore Ty,Laurent Zeitoun,Jennica Harper,,
Elvis,,2022,C13,2h 39m,7.8/10,48K,8,Biography,"Elvis is Baz Luhrmann's biopic of Elvis Presley, from his childhood to becoming a rock and movie star in the 1950s while maintaining a complex relationship with his manager, Colonel Tom Parker.",Baz Luhrmann,Baz Luhrmann,Craig Pearce,865,233 64
Jerry & Marge Go Large,,2022,PG-13,1h 36m,6.9/10,7.7K,164,Biography,"Based on the true story about long-married couple Jerry and Marge Selbee, who win the lottery and use the money to revive their small town.",David Frankel,Jason Fagone,Bryan Cranston,79,25 52
Oppenheimer,,2023,Null,Null,,,19,Biography,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,Christopher Nolan,Null,Null,,
Blonde,,2022,NC-17,2h 46m,,,264,Biography,A fictionalized chronicle of the inner life of Marilyn Monroe.,Andrew Dominik,Andrew Dominik,Ana de Armas,,
Father Stu,,2022,R,2h 4m,6.4/10,10K,261,Biography,"Follows the life of Father Stuart Long, a boxer-turned-priest who inspired countless people during his journey from self-destruction to redemption.",Rosalind Ross,Rosalind Ross,Mel Gibson,187,71 40
Rise,,2022,PG,1h 53m,7.1/10,4.6K,743,Biography,Based on the real life story about the family that produced the first trio of brothers to become NBA champions in the history of the league.,Akin Omotoso,Arash Amel,Yetide Badaki,49,17 74
Thirteen Lives,,2022,PG-13,2h 22m,,,231,Biography,A rescue mission is assembled in Thailand where a group of young boys and their soccer coach are trapped in a system of underground caves that are flooding.,Ron Howard,William Nicholson,Colin Farrell,,
Bergen,,2022,Null,Null,7.2/10,2.5K,"1,019",Biography,"Bergen, a valuable turkish arabesque singer, fights to stay afloat despite all the difficulties in her life.",Caner Alper,Null,Null,,
